"2.5 %"	"97.5 %"	"Estimate"
"cond.(Intercept)"	-0.860527745108248	1.80247701894451	0.470974636918129
"cond.width"	-0.0188672520181947	0.0609051128581172	0.0210189304199612
"cond.lightlight"	1.04037981311602	2.30148660724468	1.67093321018035
"cond.sourceSun"	-0.67474321617094	0.140971207423709	-0.266886004373616
"cond.Std.Dev.side:(cage:batch_2015).(Intercept)"	0	Inf	0.000140919167296757
"cond.Std.Dev.cage:batch_2015.(Intercept)"	0.939964812921726	2.11566462161074	1.41019512843346
"cond.Std.Dev.batch_2015.(Intercept)"	0	Inf	2.97299417475031e-05
"sigma"	0.0457345449841958	0.0951713510225775	0.0659743771061823
"sigma"	0.412211339463567	0.648857138981697	0.517171412957197
