year	leaf_num	num_leaves	pos	width	stipples	eggs	temp	light	batch	batch_2015	room	cage	side	source	temp_c
2014	10	12	11	33	0	NA	cool	dark	2	4	2	1	2	NA	16.57407407
2014	11	12	6	25	0	NA	cool	dark	2	4	2	1	2	NA	16.57407407
2014	12	13	10	34	0	NA	cool	dark	2	4	2	1	2	NA	16.57407407
2014	2	9	5	30	0	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	3	8	7	24	3	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	4	10	5	38	0	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	5	7	1	18	0	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	6	8	8	22	0	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	7	13	8	24	1	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	8	11	5	28	1	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	9	9	9	14	0	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	10	13	11	32	1	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	12	8	4	27	1	NA	warm	dark	3	5	1	1	1	NA	22.27966102
2014	2	9	6	26	1	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	3	8	1	33	4	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	5	7	7	20	1	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	6	8	6	20	5	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	7	13	3	18	8	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	8	11	6	31	5	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	9	9	6	10	0	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	10	13	13	27	0	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	11	10	6	31	5	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	12	8	7	28	19	NA	warm	light	3	5	1	1	2	NA	22.53389831
2014	2	9	8	28	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	4	10	3	36	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	5	7	3	23	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	6	8	4	20	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	7	13	1	21	18	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	8	11	8	34	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	9	9	1	16	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	10	13	12	23	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	11	10	10	20	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	12	8	3	20	0	NA	cool	dark	3	6	2	1	1	NA	16.06779661
2014	2	9	7	32	10	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	4	10	6	38	11	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	5	7	6	20	2	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	6	8	7	22	0	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	7	13	13	22	0	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	8	11	7	30	26	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	9	9	5	16	0	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	10	13	1	15	0	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	11	10	8	22	15	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	12	8	2	18	43	NA	cool	light	3	6	2	1	2	NA	16.26271186
2014	1	9	9	22	1	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	2	11	6	29	62	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	3	11	1	33	10	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	4	11	10	20	9	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	5	10	2	18	0	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	6	8	4	29	51	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	7	8	3	19	0	NA	warm	light	4	7	1	1	1	NA	22.65873016
